"EventID","MachineName","Data","EntryType","Message","Source","ReplacementStrings","TimeGenerated","TimeWritten","UserName"
"15","DESKTOP-LUGE14R","System.Byte[]","Information","Updated Avast Antivirus status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","18/05/2024 11:34:52","18/05/2024 11:34:52",
"15","DESKTOP-LUGE14R","System.Byte[]","Information","Updated Avast Antivirus status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","18/05/2024 11:34:52","18/05/2024 11:34:52",
"15","DESKTOP-LUGE14R","System.Byte[]","Information","Updated Avast Antivirus status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","18/05/2024 11:34:52","18/05/2024 11:34:52",
"0","DESKTOP-LUGE14R","System.Byte[]","Information","The description for Event ID '0' in Source 'SynTPEnhService' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'SynTPEnhService', 'Session Changed User unlock'","SynTPEnhService","System.String[]","18/05/2024 11:34:22","18/05/2024 11:34:22",
"1","DESKTOP-LUGE14R","System.Byte[]","Information","The description for Event ID '1' in Source 'iBtSiva' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'iBtSiva', 'Siva worker starting'","iBtSiva","System.String[]","18/05/2024 11:34:17","18/05/2024 11:34:17",
"0","DESKTOP-LUGE14R","System.Byte[]","Information","The description for Event ID '0' in Source 'SynTPEnhService' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'SynTPEnhService', 'Session Changed User lock'","SynTPEnhService","System.String[]","18/05/2024 02:12:58","18/05/2024 02:12:58",
"15","DESKTOP-LUGE14R","System.Byte[]","Information","Updated Avast Antivirus status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","18/05/2024 02:09:53","18/05/2024 02:09:53",
"15","DESKTOP-LUGE14R","System.Byte[]","Information","Updated Avast Antivirus status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","18/05/2024 02:09:53","18/05/2024 02:09:53",
"15","DESKTOP-LUGE14R","System.Byte[]","Information","Updated Avast Antivirus status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","18/05/2024 02:09:52","18/05/2024 02:09:52",
"15","DESKTOP-LUGE14R","System.Byte[]","Information","Updated Avast Antivirus status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","18/05/2024 02:09:52","18/05/2024 02:09:52",
"16394","DESKTOP-LUGE14R","System.Byte[]","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","18/05/2024 01:47:30","18/05/2024 01:47:30",
